,1,2,3,4,5,6,7,8,9,10,11,12,Year
2020,0.0,0.0,0.0,9.0,2.32,3.72,3.85,4.78,1.18,8.99,0.49,-2.95,31.38
2021,-0.76,1.94,-3.42,5.87,3.55,-0.3,-4.43,1.55,-2.99,-1.27,-1.24,1.19,-0.33
2022,8.59,0.02,0.22,-4.45,4.53,7.06,5.34,-0.67,0.93,-1.65,-0.13,4.26,24.04
2023,-5.05,-3.93,-0.33,0.47,3.26,0.2,1.93,0.39,-2.04,1.41,3.74,1.74,1.77
2024,-1.01,5.37,5.47,2.87,0.46,2.27,-0.76,-1.88,12.4,4.78,-2.45,4.92,32.43
2025,-1.07,0.15,-0.39,0.52,2.54,4.05,5.57,1.46,5.24,7.31,-3.68,-2.45,19.26
2026,4.11,-4.35,3.97,-1.36,6.21,-1.36,,,,,,,7.22
