entry_ts,exit_ts,side,entry,exit,lots,pnl,R,reason,atr,spread_cost_px,commission,equity_after
2026-03-20 13:00:00,2026-03-20 13:38:00,-1,24152.299609375,24197.729857444763,1.25,-57.53781008720307,-1.0151889558042484,sl,30.08683204650879,0.455,0.75,11277.85148039631
2026-03-20 15:05:00,2026-03-20 15:17:00,1,24270.655390625,24227.649642066957,1.32,-57.559588096617695,-1.0207544973733782,sl,28.47049903869629,0.455,0.792,11220.291892299692
2026-03-23 07:25:00,2026-03-23 08:30:00,1,23778.924609375,23749.002836608888,1.8900000000000001,-57.686150527952734,-1.0282468777401743,sl,19.747848510742188,0.525,1.1340000000000001,11162.60574177174
2026-03-24 06:55:00,2026-03-24 07:40:00,1,24068.02421875,24034.09099712372,1.6500000000000001,-56.979815683363675,-1.0209052796720886,sl,22.422147750854492,0.525,0.99,11105.625926088376
2026-03-24 09:05:00,2026-03-24 09:53:00,1,24086.755,24163.77033317566,1.44,110.03807977294922,1.9816637172058411,tp,25.671777725219727,0.455,0.864,11215.664005861325
2026-03-24 09:50:00,2026-03-24 10:12:00,1,24186.45421875,24263.97026527405,1.44,110.7591069946289,1.9750789063714116,tp,25.838682174682617,0.455,0.864,11326.423112855955
2026-03-24 15:30:00,2026-03-24 16:40:00,-1,24093.299609375,23986.28754348755,1.05,111.73266918182374,1.9729559467896383,tp,35.67068862915039,0.455,0.63,11438.155782037778
2026-03-25 03:10:00,2026-03-25 03:30:00,1,24237.924609375,24199.86942329407,1.51,-58.36933098220715,-1.0206073792747092,sl,25.170124053955078,0.525,0.9059999999999999,11379.78645105557
2026-03-25 03:30:00,2026-03-25 04:33:00,1,24261.62578125,24218.599882507326,1.33,-58.02244532775783,-1.0197457672393455,sl,28.483932495117188,0.525,0.798,11321.764005727813
2026-03-25 06:35:00,2026-03-25 07:27:00,1,24156.02421875,24210.8157951355,2.06,111.63464735412597,1.972036288649874,tp,18.263858795166016,0.525,1.236,11433.398653081938
2026-03-25 07:25:00,2026-03-25 08:53:00,1,24207.924609375,24184.107245349885,2.43,-59.33419458103003,-1.037910010511812,sl,15.678242683410645,0.525,1.458,11374.064458500909
2026-03-25 09:45:00,2026-03-25 11:01:00,1,24163.854609375,24215.456723098756,2.2,112.20465019226076,1.9729912838396078,tp,17.20070457458496,0.455,1.32,11486.26910869317
2026-03-25 11:00:00,2026-03-25 11:16:00,1,24245.854609375,24313.59060371399,1.69,113.45983043289185,1.975573258109057,tp,22.578664779663086,0.455,1.014,11599.728939126062
2026-03-26 14:20:00,2026-03-26 15:01:00,-1,23951.50078125,23886.242655944825,1.77,114.44488179016113,1.9732337262491861,tp,21.752708435058594,0.455,1.062,11714.173820916223
2026-03-26 15:00:00,2026-03-26 15:10:00,-1,23893.799609375,23928.37257862091,1.7,-59.79404771804686,-1.0208837367818757,sl,22.84864616394043,0.455,1.02,11654.379773198176
2026-03-26 15:30:00,2026-03-26 16:00:00,-1,23888.89921875,23923.674962997437,1.69,-59.785007778166495,-1.0259663567108972,sl,22.983829498291016,0.455,1.014,11594.59476542001
2026-03-26 16:25:00,2026-03-26 16:30:00,1,23951.755,23916.144935684206,1.6400000000000001,-59.384505477904085,-1.0243480980467528,sl,23.540042877197266,0.455,0.984,11535.210259942105
2026-03-26 16:35:00,2026-03-26 16:43:00,-1,23865.7,23909.241795539856,1.33,-58.70858806800746,-1.0179023484623009,sl,28.827863693237305,0.35000000000000003,0.798,11476.501671874097
2026-03-26 16:50:00,2026-03-26 16:58:00,1,24028.050390624998,23972.29736289978,1.03,-58.043618556975574,-1.0115211101171242,sl,36.968685150146484,0.35000000000000003,0.618,11418.458053317121
2026-03-30 14:05:00,2026-03-30 14:26:00,1,23238.155390625,23296.217533950807,1.96,112.6258009185791,1.972697195938129,tp,19.354047775268555,0.455,1.176,11531.083854235701
2026-03-31 03:10:00,2026-03-31 03:38:00,-1,22830.299609375,22866.67521762848,1.59,-58.791217123030464,-1.0196997587773986,sl,24.050405502319336,0.525,0.954,11472.29263711267
2026-03-31 13:30:00,2026-03-31 14:11:00,-1,23101.600390625,23136.193696022034,1.67,-58.77282001304505,-1.0246046169170409,sl,22.86220359802246,0.455,1.002,11413.519817099626
2026-04-01 07:05:00,2026-04-01 08:05:00,1,23800.325,23835.63880367279,3.23,112.1255858631134,1.9647854064287513,tp,11.771267890930176,0.525,1.938,11525.645402962738
2026-04-02 10:35:00,2026-04-02 13:06:00,1,23654.755,23622.947077827455,1.82,-58.9824183540331,-1.0234987506881192,sl,21.005281448364258,0.455,1.092,11466.662984608705
2026-04-02 14:35:00,2026-04-02 15:36:00,-1,23523.600390625,23555.41494178772,1.81,-58.670337604521386,-1.0233201705373662,sl,21.009700775146484,0.455,1.086,11407.992647004185
2026-04-02 16:35:00,2026-04-02 16:42:00,-1,23501.2,23550.679485321045,1.1500000000000001,-57.59140811920083,-1.0096676935415936,sl,32.78632354736328,0.35000000000000003,0.6900000000000001,11350.401238884984
2026-04-03 02:30:00,2026-04-03 03:01:00,1,24027.12578125,24064.404750061036,3.04,111.50406518554688,1.9647598853783013,tp,12.426322937011719,0.525,1.8239999999999998,11461.90530407053
2026-04-03 03:10:00,2026-04-03 03:20:00,1,24054.62578125,24034.373663806917,2.87,-59.84557706165105,-1.0442518145809108,sl,13.301411628723145,0.525,1.722,11402.05972700888
2026-04-03 07:25:00,2026-04-03 07:42:00,1,23991.62578125,23977.192778491975,4.03,-60.58300111484235,-1.0626676682167358,sl,9.422001838684082,0.525,2.418,11341.476725894037
2026-04-03 08:05:00,2026-04-03 08:18:00,1,23999.62578125,23984.279810333253,3.7600000000000002,-59.956850646969926,-1.0573023618711104,sl,10.030647277832031,0.525,2.2560000000000002,11281.519875247068
2026-04-03 08:30:00,2026-04-03 09:31:00,1,23995.12578125,23978.69811048508,3.49,-59.42657096957907,-1.0535206537191453,sl,10.75178050994873,0.525,2.094,11222.093304277489
2026-04-03 10:40:00,2026-04-03 11:23:00,1,23973.95421875,23957.038782196047,3.37,-59.02702118682616,-1.0519787990771217,sl,11.076957702636719,0.455,2.022,11163.066283090662
2026-04-08 07:10:00,2026-04-08 08:32:00,1,24963.825,25002.218963813782,2.9,109.60249505996704,1.9636628911894631,tp,12.797987937927246,0.525,1.74,11272.668778150628
2026-04-08 15:00:00,2026-04-08 15:19:00,1,25072.854609375,25044.238221244814,1.99,-58.14061237907265,-1.0315323464797324,sl,18.877592086791992,0.455,1.194,11214.528165771557
2026-04-09 07:50:00,2026-04-09 08:08:00,1,24853.12578125,24839.78160800934,4.29,-59.82050320243523,-1.066839412558016,sl,8.696115493774414,0.525,2.574,11154.70766256912
2026-04-09 08:15:00,2026-04-09 09:03:00,1,24857.12578125,24886.770399284364,3.7600000000000002,109.20776380920411,1.9580569408495236,tp,9.881539344787598,0.525,2.2560000000000002,11263.915426378324
2026-04-09 13:20:00,2026-04-09 13:39:00,1,24855.95421875,24835.106439189913,2.74,-58.766915994642176,-1.0434544964181691,sl,13.698519706726074,0.455,1.6440000000000001,11205.148510383682
2026-04-09 13:45:00,2026-04-09 13:51:00,1,24855.155390625,24835.161840991976,2.84,-58.48568095779212,-1.0439072878613638,sl,13.129033088684082,0.455,1.704,11146.66282942589
2026-04-13 07:15:00,2026-04-13 07:21:00,1,24918.12578125,24901.783174419405,3.47,-58.7908457021688,-1.0548600348252726,sl,10.69507122039795,0.525,2.082,11087.871983723722
2026-04-13 07:25:00,2026-04-13 09:17:00,1,24914.02421875,24946.775859069825,3.38,108.67254428100586,1.9602056091652245,tp,10.917213439941406,0.525,2.028,11196.544528004728
2026-04-13 09:15:00,2026-04-13 13:20:00,1,24947.55578125,24955.7,3.21,24.21694218749907,0.4325788572881181,time,11.598733901977539,0.455,1.926,11220.761470192227
2026-04-14 14:45:00,2026-04-14 14:57:00,1,25503.854609375,25534.503034477235,3.66,109.97723587417603,1.9602454996718157,tp,10.216141700744629,0.455,2.196,11330.738706066402
2026-04-15 04:25:00,2026-04-15 05:11:00,1,25886.02421875,25870.933848762514,3.83,-60.09411705207546,-1.0607272590250714,sl,9.860246658325195,0.525,2.298,11270.644589014328
2026-04-16 03:35:00,2026-04-16 04:42:00,1,26273.424609375,26304.854119491578,3.58,110.3696462173462,1.9585329897621877,tp,10.476503372192383,0.525,2.148,11381.014235231674
2026-04-17 15:10:00,2026-04-17 15:22:00,1,26445.55578125,26428.701749401094,3.43,-59.867329241750134,-1.052056134969442,sl,11.03602123260498,0.455,2.058,11321.146905989923
2026-04-17 15:20:00,2026-04-17 15:30:00,1,26446.55578125,26481.94801700592,3.19,110.98723206138611,1.9607065076183008,tp,11.797411918640137,0.455,1.914,11432.13413805131
