entry_ts,exit_ts,side,entry,exit,lots,pnl,R,reason,atr,spread_cost_px,commission,equity_after
2025-06-06 16:35:00,2025-06-06 17:29:00,1,21785.649999999998,21747.455731010436,1.31,-50.82049237632656,-1.0164098475265313,sl,25.262845993041992,0.35000000000000003,0.786,9949.179507623674
2025-06-09 18:15:00,2025-06-09 19:38:00,-1,21802.100390625,21832.722458839417,1.6400000000000001,-51.20419187164188,-1.0293148662642195,sl,20.214712142944336,0.35000000000000003,0.984,9897.975315752032
2025-06-10 16:25:00,2025-06-10 16:30:00,-1,21814.7,21833.048052310944,2.74,-51.91766333198348,-1.0490562296990102,sl,12.032034873962402,0.455,1.6440000000000001,9846.057652420048
2025-06-11 07:25:00,2025-06-11 08:01:00,-1,21874.39921875,21849.824336242677,4.0,95.89953002929687,1.9479782348364754,tp,8.191627502441406,0.525,2.4,9941.957182449345
2025-06-11 14:00:00,2025-06-11 14:16:00,-1,21902.50078125,21874.412436676026,3.5300000000000002,97.03385634613038,1.9520071262713823,tp,9.362781524658203,0.455,2.118,10038.991038795475
2025-06-11 14:15:00,2025-06-11 14:29:00,-1,21868.50078125,21884.453263282776,3.2,-52.96794250488049,-1.0552443427867793,sl,10.434988021850586,0.455,1.92,9986.023096290595
2025-06-13 09:00:00,2025-06-13 09:19:00,1,21583.62578125,21555.715341949464,1.8,-51.31879074096549,-1.0278123782835702,sl,18.406959533691406,0.525,1.08,9934.70430554963
2025-06-13 16:15:00,2025-06-13 16:26:00,-1,21619.100390625,21647.33914375305,1.77,-51.04459303665032,-1.0276016571149735,sl,18.625835418701172,0.455,1.062,9883.659712512981
2025-06-16 16:45:00,2025-06-16 17:00:00,1,21874.550390624998,21939.931099319456,1.51,97.81887012863159,1.9794058673385981,tp,21.793569564819336,0.35000000000000003,0.9059999999999999,9981.478582641612
2025-06-17 08:10:00,2025-06-17 08:16:00,1,21852.12578125,21831.294924640657,2.43,-52.07698156070533,-1.043472289792222,sl,13.687237739562988,0.525,1.458,9929.401601080906
2025-06-17 08:25:00,2025-06-17 10:05:00,1,21849.52421875,21827.197782421114,2.25,-51.58448173999623,-1.0390249848365642,sl,14.684290885925293,0.525,1.3499999999999999,9877.81711934091
2025-06-17 13:35:00,2025-06-17 13:52:00,-1,21775.100390625,21798.327040672302,2.15,-51.22729760169826,-1.0372189924714128,sl,15.284433364868164,0.455,1.2899999999999998,9826.589821739213
2025-06-18 19:25:00,2025-06-18 20:31:00,-1,21799.7,21735.325942230225,1.52,96.93656781005859,1.9729442170386986,tp,21.458019256591797,0.35000000000000003,0.9119999999999999,9923.526389549272
