entry_ts,exit_ts,entry,exit,ret_net,reason,nights,expo
2026-06-10 23:00:00,2026-06-11 16:30:00,28508.725390625,28737.2,0.007993153192669071,window,1,1.0
2026-06-11 23:00:00,2026-06-12 16:30:00,29440.62578125,29479.50078125,0.001300074267591703,window,1,1.0
2026-06-12 23:00:00,2026-06-15 16:30:00,29636.950781249998,30325.600390625,0.02321593791660584,window,3,1.0
2026-06-15 23:00:00,2026-06-16 16:30:00,30563.749609374998,30503.600390625,-0.0019876232309979113,window,1,1.0
2026-06-16 23:00:00,2026-06-17 16:30:00,30006.825,30224.600390625,0.007237533148708669,window,1,1.0
2026-06-17 23:00:00,2026-06-18 16:30:00,29689.649999999998,30299.7,0.020527355492570745,window,1,1.0
2026-06-18 23:00:00,2026-06-19 16:30:00,30394.149999999998,30349.39921875,-0.0014920891437989576,window,1,1.0
2026-06-22 23:00:00,2026-06-23 16:30:00,30368.050390624998,29435.299609375,-0.030734629627002144,window,1,1.0
2026-06-23 23:00:00,2026-06-24 16:30:00,29363.149999999998,29432.50078125,0.002341396657034512,window,1,1.0
2026-06-24 23:00:00,2026-06-25 16:30:00,29245.325,29876.100390625,0.021547901780028092,window,1,1.0
2026-06-25 23:00:00,2026-06-26 16:30:00,29454.62578125,29089.100390625,-0.012430149116274472,window,1,1.0
2026-06-26 23:00:00,2026-06-29 16:30:00,29047.725390625,29386.600390625,0.011645490152877046,window,3,1.0
2026-06-30 23:00:00,2026-07-01 16:30:00,30260.424609375,29980.2,-0.009280260042616771,window,1,1.0
2026-07-01 23:00:00,2026-07-02 16:30:00,29824.924609375,29824.799609375,-2.4308527498242445e-05,window,1,1.0
