entry_ts,exit_ts,entry,exit,ret_net,reason,nights,expo
2026-06-10 23:00:00,2026-06-11 16:30:00,28508.725390625,28737.2,0.005288764022269366,window,1,0.6616617866300825
2026-06-11 23:00:00,2026-06-12 16:30:00,29440.62578125,29479.50078125,0.000843894825611936,window,1,0.6491127827452445
2026-06-12 23:00:00,2026-06-15 16:30:00,29636.950781249998,30325.600390625,0.013403238344300208,window,3,0.5773291775867979
2026-06-15 23:00:00,2026-06-16 16:30:00,30563.749609374998,30503.600390625,-0.001198081791078185,window,1,0.60277107471554
2026-06-16 23:00:00,2026-06-17 16:30:00,30006.825,30224.600390625,0.004195442964574795,window,1,0.5796785836239454
2026-06-17 23:00:00,2026-06-18 16:30:00,29689.649999999998,30299.7,0.011915639125810198,window,1,0.5804760934803659
2026-06-18 23:00:00,2026-06-19 16:30:00,30394.149999999998,30349.39921875,-0.0009060188415611017,window,1,0.6072149544995132
2026-06-22 23:00:00,2026-06-23 16:30:00,30368.050390624998,29435.299609375,-0.019727612286358668,window,1,0.6418692050554864
2026-06-23 23:00:00,2026-06-24 16:30:00,29363.149999999998,29432.50078125,0.001580746149040289,window,1,0.675129583144779
2026-06-24 23:00:00,2026-06-25 16:30:00,29245.325,29876.100390625,0.013252213584931574,window,1,0.6150117872364971
2026-06-25 23:00:00,2026-06-26 16:30:00,29454.62578125,29089.100390625,-0.007881310007659128,window,1,0.6340479051325565
2026-06-26 23:00:00,2026-06-29 16:30:00,29047.725390625,29386.600390625,0.007636187094153932,window,3,0.6557205402185149
2026-06-30 23:00:00,2026-07-01 16:30:00,30260.424609375,29980.2,-0.0058938564253955515,window,1,0.6350960423878004
2026-07-01 23:00:00,2026-07-02 16:30:00,29824.924609375,29824.799609375,-1.568690551229839e-05,window,1,0.6453252058740532
