entry_ts,exit_ts,side,entry,exit,lots,pnl,R,reason,atr,spread_cost_px,commission,equity_after
2026-06-10 08:25:00,2026-06-10 11:03:00,1,28917.725390625,28858.631260299684,0.85,-50.740010776519156,-1.014800215530383,sl,39.19608688354492,0.525,0.51,9949.259989223481
2026-06-10 13:30:00,2026-06-10 14:04:00,1,28756.854609375,28692.800472335817,0.78,-50.430226890563404,-1.0137482977666037,sl,42.50275802612305,0.455,0.46799999999999997,9898.829762332918
2026-06-11 13:30:00,2026-06-11 14:00:00,1,28896.05578125,28858.16490085602,1.31,-50.423053316115386,-1.018767966047572,sl,25.06058692932129,0.455,0.786,9848.406709016803
2026-06-15 06:15:00,2026-06-15 06:45:00,1,30205.225390625,30181.6912607193,2.11,-50.9230141010269,-1.0341371067546155,sl,15.489419937133789,0.525,1.2659999999999998,9797.483694915774
2026-06-16 06:30:00,2026-06-16 07:19:00,1,30530.725390625,30504.680455589296,1.9000000000000001,-50.6253765678392,-1.03343630148852,sl,17.16329002380371,0.525,1.1400000000000001,9746.858318347937
2026-06-16 08:00:00,2026-06-16 08:34:00,1,30520.325,30496.646860504152,2.08,-50.49853015136567,-1.0362011737937116,sl,15.585426330566406,0.525,1.248,9696.35978819657
2026-06-16 09:25:00,2026-06-16 10:49:00,1,30525.755,30501.324554519655,2.0,-50.06089096069191,-1.032570821508321,sl,16.086963653564453,0.455,1.2,9646.298897235878
2026-06-18 09:55:00,2026-06-18 11:10:00,1,30120.854609375,30197.68760383606,1.25,95.29124307632446,1.975705793309596,tp,25.610998153686523,0.455,0.75,9741.590140312202
2026-06-18 13:15:00,2026-06-18 13:33:00,1,30189.755,30157.368433074953,1.51,-49.80971605682263,-1.0226198257038621,sl,21.39104461669922,0.455,0.9059999999999999,9691.78042425538
2026-06-18 15:10:00,2026-06-18 15:56:00,1,30134.354609375,30212.42937362671,1.24,96.06870767211915,1.9824780064494725,tp,26.024921417236328,0.455,0.744,9787.8491319275
2026-06-18 16:10:00,2026-06-18 16:26:00,1,30217.155390625,30301.69403541565,1.1500000000000001,96.52944150924684,1.972434192806924,tp,28.179548263549805,0.455,0.6900000000000001,9884.378573436747
2026-06-18 16:25:00,2026-06-18 16:31:00,1,30300.755,30253.384749488832,1.04,-49.889060531615456,-1.009452646131689,sl,31.38016700744629,0.455,0.624,9834.489512905131
2026-06-22 15:20:00,2026-06-22 16:30:00,1,30524.354609375,30593.51349914551,1.42,97.35362347412108,1.9798409128683407,tp,23.052963256835938,0.455,0.852,9931.843136379252
2026-06-23 15:10:00,2026-06-23 15:35:00,-1,29538.89921875,29432.788890075684,0.93,98.12460566711425,1.975959634474987,tp,35.37010955810547,0.455,0.558,10029.967742046367
2026-06-25 05:55:00,2026-06-25 08:24:00,1,29723.225390625,29809.10244483948,1.16,98.92138288879394,1.9725164712964771,tp,28.62568473815918,0.525,0.696,10128.88912493516
2026-06-25 08:20:00,2026-06-25 10:17:00,1,29810.52421875,29873.642504882813,1.6,100.0292578125,1.9751279055123505,tp,21.0394287109375,0.525,0.96,10228.91838274766
2026-06-25 14:00:00,2026-06-25 14:07:00,1,29911.755,29879.809024887087,1.61,-52.39901993179205,-1.024527090179339,sl,21.09731674194336,0.455,0.966,10176.519362815869
2026-06-29 16:10:00,2026-06-29 16:21:00,1,29466.755,29428.911317901613,1.35,-51.89897083282373,-1.019974884978024,sl,25.02912139892578,0.455,0.81,10124.620391983044
2026-06-30 06:30:00,2026-06-30 07:21:00,1,29819.825,29893.740386199952,1.36,99.7089252319336,1.9696328626974684,tp,24.63846206665039,0.525,0.8160000000000001,10224.329317214977
