entry_ts,exit_ts,side,entry,exit,lots,pnl,R,reason,atr,spread_cost_px,commission,equity_after
2026-06-10 05:00:00,2026-06-10 08:18:00,-1,28992.50078125,28844.53200454712,0.67,98.73708039093017,1.9747416078186035,tp,49.32292556762695,0.525,0.402,10098.73708039093
2026-06-11 05:15:00,2026-06-11 06:50:00,-1,28607.600390625,28682.193294525146,0.67,-50.37924561309766,-0.9977335821708001,sl,49.528602600097656,0.525,0.402,10048.357834777833
2026-06-18 14:05:00,2026-06-18 15:13:00,-1,30103.7,30139.20792579651,1.42,-51.27325463104144,-1.0205300303614253,sl,23.47195053100586,0.455,0.852,9997.084580146791
2026-06-18 16:30:00,2026-06-18 17:06:00,-1,30185.600390625,30243.54772567749,0.86,-50.35070814514097,-1.0073078354289897,sl,38.431556701660156,0.35000000000000003,0.516,9946.73387200165
2026-06-22 14:10:00,2026-06-22 14:39:00,-1,30443.299609375,30484.408974647522,1.21,-50.4683319797507,-1.0147719367823924,sl,27.20624351501465,0.455,0.726,9896.2655400219
2026-06-22 16:40:00,2026-06-22 16:47:00,-1,30503.299609375,30581.403686523438,0.63,-49.58356860351517,-1.0020662522239767,sl,51.869384765625,0.35000000000000003,0.378,9846.681971418384
2026-06-22 17:20:00,2026-06-22 17:44:00,-1,30516.39921875,30332.873763275147,0.53,96.95049140167237,1.9692012331278117,tp,61.17515182495117,0.35000000000000003,0.318,9943.632462820056
2026-06-25 09:10:00,2026-06-25 10:20:00,1,29837.45421875,29899.58970916748,1.6,98.45678466796876,1.9802981462982592,tp,20.711830139160156,0.455,0.96,10042.089247488026
2026-06-25 13:15:00,2026-06-25 14:21:00,1,29887.255,29858.32127864838,1.75,-51.68401236533991,-1.0293477998767713,sl,19.089147567749023,0.455,1.05,9990.405235122686
2026-06-29 16:55:00,2026-06-29 17:12:00,-1,29356.299609375,29154.12402648926,0.49,98.77203561401367,1.977337921524276,tp,67.39186096191406,0.35000000000000003,0.294,10089.1772707367
2026-06-29 17:10:00,2026-06-29 17:25:00,-1,29069.600390625,29189.188385009766,0.42,-50.478957641601255,-1.000655579479482,sl,79.52532958984375,0.35000000000000003,0.252,10038.698313095098
2026-07-02 10:10:00,2026-07-02 10:35:00,-1,29581.600390625,29635.918981552124,0.92,-50.52510365295343,-1.0066066750316693,sl,36.012393951416016,0.455,0.552,9988.173209442144
