ts,side,ev_atr,action,reason
2026-07-03 16:40:00,,,skip,MISSED_late
2026-07-03 16:45:00,0,-0.088867,no_trade,gate
2026-07-03 16:50:00,0,-0.035967,no_trade,gate
2026-07-03 16:55:00,0,0.166286,no_trade,gate
2026-07-03 17:00:00,0,-0.151191,no_trade,gate
2026-07-03 17:05:00,0,-0.162486,no_trade,gate
2026-07-03 17:10:00,0,-0.132092,no_trade,gate
2026-07-03 17:15:00,0,-0.188265,no_trade,gate
2026-07-03 17:20:00,0,-0.175768,no_trade,gate
2026-07-03 17:25:00,0,-0.216526,no_trade,gate
2026-07-03 17:30:00,0,-0.273393,no_trade,gate
2026-07-03 17:35:00,0,-0.219716,no_trade,gate
2026-07-03 18:15:00,0,0.055668,no_trade,gate
2026-07-03 18:20:00,0,-0.235578,no_trade,gate
2026-07-03 18:25:00,0,-0.157727,no_trade,gate
2026-07-03 18:30:00,0,-0.211908,no_trade,gate
2026-07-03 18:35:00,0,-0.217593,no_trade,gate
