logged,server_time,equity,balance
2026-07-03 14:46:42.368692,2026-07-03 16:46:41,50000.0,50000.0
2026-07-03 14:51:09.000214,2026-07-03 16:51:08,50000.0,50000.0
2026-07-03 16:21:01.946398,2026-07-03 18:21:01,50000.0,50000.0
2026-07-03 16:29:36.571821,2026-07-03 18:29:35,50000.0,50000.0
