logged_at,bar_ts,champion,side,close,atr,ev_gate,s2_gate
2026-07-02T16:24:41.412710,2025-12-30 23:55:00,gbt,0,25467.10,9.24,0.2,1
2026-07-02T16:50:27.695079,2025-12-30 23:55:00,gbt,0,25467.10,9.24,0.2,1
2026-07-02T16:50:58.728475,2025-12-30 23:55:00,gbt,0,25467.10,9.24,0.2,1
2026-07-02T22:28:04.010214,2025-12-30 23:55:00,gbt,0,25467.10,9.24,0.1,1
