,,ret
2020,1,-0.01138287529263815
2020,2,0.001233470534536929
2020,3,0.06725860913728798
2020,4,0.033276529181190506
2020,5,0.012282119673110659
2020,6,0.023865129185318468
2020,7,0.06775237352961816
2020,8,0.01797870931879686
2020,9,0.08419814095793043
2020,10,0.0967658846455326
2020,11,-0.0052025413046906666
2020,12,0.008371315004291446
2021,1,0.0018582414346965948
2021,2,-0.005494871399913115
2021,3,-0.0031759043775947404
2021,4,0.004756070190320205
2021,5,-0.0024682809080522894
2021,6,0.00984207546899607
2021,7,-0.00985945535751609
2021,8,-8.713388167436165e-05
2021,9,-0.0198338692116109
2021,10,-0.0020675269352151693
2021,11,0.014178334907072765
2021,12,0.013714851167180075
2022,1,-0.00998202824624117
2022,2,-0.005070132796781146
2022,3,-0.010214471589248153
2022,4,-0.04077031072348114
2022,5,-0.001509613317368319
2022,6,0.019382205915728035
2022,7,0.008953492776350602
2022,8,-0.02262022149422027
2022,9,-0.007168135416960375
2022,10,0.004283386469263739
2022,11,-0.0010623675149109557
2022,12,-0.009373001234232126
2023,1,-0.03350971897615607
2023,2,-0.03241959644722625
2023,3,0.021417365150164125
2023,4,-0.007146872208618316
2023,5,0.02675298984645824
2023,6,0.002742791492672314
2023,7,0.03764662077524372
2023,8,-0.006118294441616712
2023,9,-0.0008308827938199315
2023,10,-0.0019163438766477414
2023,11,0.014461247663729804
2023,12,0.0012628332227140326
2024,1,0.03892017541680848
2024,2,0.0686597341212214
2024,3,0.016658198837230742
2024,4,0.033632162704431146
2024,5,-0.000341574114284815
2024,6,0.04289204103556421
2024,7,-0.0122644943381095
2024,8,0.028213449497893617
2024,9,0.060368758613681406
2024,10,-0.003487376634070505
2024,11,0.004886731460752802
2024,12,0.035878304795845084
2025,1,0.022205872333403986
2025,2,-0.0262293513856946
2025,3,0.009791978280887959
2025,4,-0.01132791039326897
2025,5,0.014317362702151781
